RHS180x100x12.5,dxf,180,100,12.5,18.8,12.5,48.7,0.528,6207,3990,2217,23.85,62.0,265.0,343.7,9.076,38.2,181.5,222.9,21910,303.1,1458.73,541.41,300.78,62.27,80.76,42.66,52.37,41.12,a,1,1,1
RHS200x100x4,dxf,200,100,4.0,6.0,4.0,18.2,0.590,2319,1546,773,12.23,72.6,122.3,150.4,4.162,42.4,83.25,92.84,9834,141.9,544.93,209.74,104.87,28.73,35.34,19.56,21.82,19.25,a,1,4,4
RHS200x100x5,dxf,200,100,5.0,7.5,5.0,22.6,0.587,2873,1915,958,14.95,72.1,149.5,185.0,5.053,41.9,101.1,113.9,12040,172.0,675.20,259.88,129.94,35.12,43.48,23.75,26.76,23.34,a,1,2,2
RHS200x100x6.3,dxf,200,100,6.3,9.4,6.3,28.1,0.584,3579,2386,1193,18.29,71.5,182.9,228.3,6.125,41.4,122.5,139.9,14750,208.4,840.98,323.69,161.85,42.98,53.65,28.79,32.88,28.27,a,1,1,1
RHS200x100x8,dxf,200,100,8.0,12.0,8.0,35.1,0.579,4475,2984,1492,22.34,70.6,223.4,282.0,7.390,40.6,147.8,171.8,18040,251.2,1051.70,404.80,202.40,52.49,66.26,34.73,40.37,34.09,a,1,1,1
RHS200x100x10,dxf,200,100,10.0,15.0,10.0,43.1,0.574,5493,3662,1831,26.64,69.6,266.4,340.9,8.688,39.8,173.8,206.2,21560,295.3,1290.78,496.82,248.41,62.61,80.10,40.83,48.46,40.07,a,1,1,1
RHS200x100x12.5,dxf,200,100,12.5,18.8,12.5,52.7,0.568,6707,4472,2236,31.36,68.4,313.6,408.2,10.04,38.7,200.8,244.7,25410,341.5,1576.23,606.69,303.34,73.70,95.93,47.19,57.51,46.33,a,1,1,1
RHS200x100x16,dxf,200,100,16.0,24.0,16.0,65.2,0.559,8301,5534,2767,36.78,66.6,367.8,491.1,11.47,37.2,229.5,290.4,29820,391.1,1950.81,750.87,375.43,86.44,115.40,53.93,68.25,53.06,a,1,1,1
RHS200x120x6.3,dxf,200,120,6.3,9.4,6.3,30.1,0.624,3831,2394,1436,20.65,73.4,206.5,252.7,9.290,49.2,154.8,176.9,20280,255.5,900.20,324.83,194.90,48.54,59.38,36.38,41.58,34.66,a,1,1,1
RHS200x120x8,dxf,200,120,8.0,12.0,8.0,37.6,0.619,4795,2997,1798,25.29,72.6,252.9,312.7,11.28,48.5,188.1,218.1,24950,309.9,1126.90,406.64,243.98,59.42,73.48,44.20,51.26,42.04,a,1,1,1
RHS200x120x10,dxf,200,120,10.0,15.0,10.0,46.3,0.614,5893,3683,2210,30.26,71.7,302.6,378.9,13.37,47.6,222.9,263.2,30010,366.9,1384.78,499.69,299.81,71.10,89.03,52.38,61.84,49.78,a,1,1,1
RHS200x120x12.5,dxf,200,120,12.5,18.8,12.5,56.6,0.608,7207,4505,2703,35.76,70.4,357.6,455.1,15.62,46.6,260.4,314.3,35690,428.3,1693.73,611.17,366.70,84.04,106.95,61.18,73.86,58.11,a,1,1,1
RHS250x150x6.3,dxf,250,150,6.3,9.4,6.3,38.0,0.784,4839,3024,1814,41.43,92.5,331.4,402.4,18.74,62.2,249.9,282.5,40540,412.9,1137.08,410.31,246.19,77.88,94.56,58.73,66.39,56.03,a,1,2,2
RHS250x150x8,dxf,250,150,8.0,12.0,8.0,47.7,0.779,6075,3797,2278,51.11,91.7,408.9,500.6,22.98,61.5,306.4,350.5,50210,505.6,1427.70,515.18,309.11,96.09,117.65,72.00,82.36,68.59,a,1,1,1
RHS250x150x10,dxf,250,150,10.0,15.0,10.0,58.8,0.774,7493,4683,2810,61.74,90.8,493.9,610.7,27.55,60.6,367.3,426.0,60900,605.2,1760.78,635.37,381.22,116.06,143.51,86.32,100.12,82.12,a,1,1,1
RHS250x150x12.5,dxf,250,150,12.5,18.8,12.5,72.3,0.768,9207,5755,3453,73.87,89.6,590.9,740.0,32.65,59.6,435.4,514.0,73260,716.6,2163.73,780.77,468.46,138.87,173.89,102.31,120.79,97.23,a,1,1,1
RHS250x150x14.2,dxf,250,150,14.2,21.3,14.2,81.1,0.763,10337,6461,3876,81.41,88.7,651.3,822.7,35.76,58.8,476.8,569.7,81020,784.4,2429.21,876.57,525.94,153.05,193.34,112.04,133.88,106.42,a,1,1,1
